,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,3,4,9,1,7,0,11,2,2,5,7,11,5,10,8,11,2,7,6,10,8,0,3,1,9,0,4,1,6,3,9,8,5,4,10,6
1,6,5,10,1,3,10,8,2,4,5,0,6,9,0,3,1,11,1,8,11,7,7,8,4,11,0,9,4,5,3,6,10,7,2,9,2
2,6,5,9,3,6,9,0,10,5,9,7,7,8,3,6,1,1,0,11,7,8,5,8,2,4,10,0,10,3,4,11,11,4,2,2,1
3,11,4,9,2,6,0,0,7,10,11,11,2,3,6,0,9,4,2,1,1,8,10,5,9,5,1,3,5,4,10,8,3,7,7,6,8
4,8,2,11,9,10,8,6,1,5,10,2,7,4,11,1,2,7,5,3,11,3,3,6,0,10,8,9,9,4,1,5,6,0,4,0,7
5,9,10,2,4,7,5,8,4,9,5,2,0,5,2,0,11,3,1,0,6,3,11,1,6,10,9,6,3,1,8,8,11,7,10,4,7
6,1,0,0,5,8,11,2,7,3,10,10,6,0,7,10,11,4,5,4,3,9,3,4,8,6,1,6,9,9,8,2,1,7,2,5,11
7,8,10,3,1,5,5,8,11,11,4,7,3,4,6,3,11,9,2,0,9,8,2,9,1,6,5,2,1,4,10,7,10,7,0,6,0
8,2,4,1,1,6,5,11,7,0,10,6,6,7,2,10,0,7,9,4,9,2,10,8,11,4,11,3,5,3,3,5,9,0,8,1,8
9,1,4,3,5,11,10,6,1,9,0,8,10,7,4,2,11,0,8,5,6,5,8,9,2,2,7,10,1,3,11,9,4,3,7,0,6
